,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,time_to_collect,collector_gender,collector_marital_status,collector_age
663,panggilan,36,425000000,453000000,1342531,94.0,13,perempuan,Menikah,62
664,panggilan,37,63000000,79500000,1316515,79.0,14,perempuan,Cerai hidup,37
665,panggilan,36,492000000,661000000,890579,74.0,11,perempuan,Menikah,38
666,panggilan,31,440000000,603500000,1241113,73.0,12,laki-laki,Cerai hidup,34
667,panggilan,49,95000000,245500000,1475018,39.0,14,laki-laki,Menikah,56
668,panggilan,35,578000000,663500000,1084108,87.0,13,perempuan,Menikah,41
669,panggilan,41,359000000,556500000,870180,65.0,12,laki-laki,Belum menikah,25
670,panggilan,33,94000000,126500000,887267,74.0,12,laki-laki,Cerai hidup,42
671,panggilan,42,381000000,473000000,1028855,81.0,12,laki-laki,Cerai hidup,43
672,panggilan,34,199000000,462000000,876550,43.0,11,perempuan,Cerai hidup,33
673,panggilan,31,204000000,449500000,835801,45.0,12,perempuan,Cerai hidup,29
674,panggilan,41,49000000,144500000,1370958,34.0,11,laki-laki,Belum menikah,29
675,panggilan,38,546000000,634000000,1116458,86.0,12,perempuan,Cerai mati,38
676,panggilan,47,360000000,379500000,1877725,95.0,13,perempuan,Cerai hidup,32
677,panggilan,31,52000000,63500000,632139,82.0,13,laki-laki,Cerai mati,40
678,panggilan,48,508000000,829000000,1607574,61.0,13,perempuan,Cerai hidup,45
679,panggilan,43,602000000,650500000,1444432,93.0,13,laki-laki,Cerai hidup,57
680,panggilan,49,196000000,259500000,1411029,76.0,12,perempuan,Belum menikah,24
681,panggilan,39,362000000,545500000,1051575,66.0,12,perempuan,Cerai mati,52
682,panggilan,30,127000000,180000000,1189439,71.0,13,laki-laki,Cerai hidup,52
683,panggilan,44,320000000,410000000,1651704,78.0,14,perempuan,Cerai mati,59
684,panggilan,44,47000000,269000000,1660494,17.0,13,laki-laki,Belum menikah,27
685,panggilan,32,212000000,330000000,1189408,64.0,12,perempuan,Menikah,58
686,panggilan,36,214000000,525000000,1065804,41.0,14,perempuan,Belum menikah,62
687,panggilan,33,183000000,202500000,1270632,90.0,14,perempuan,Belum menikah,50
688,panggilan,40,340000000,483000000,1610434,70.0,14,perempuan,Belum menikah,38
689,panggilan,40,44000000,280000000,1167365,16.0,12,perempuan,Belum menikah,28
690,panggilan,44,122000000,155000000,1012071,79.0,11,laki-laki,Cerai mati,41
691,panggilan,49,494000000,590500000,1198132,84.0,14,laki-laki,Cerai mati,60
692,panggilan,36,466000000,518000000,1403816,90.0,11,laki-laki,Cerai mati,29
693,panggilan,42,242000000,368000000,1609173,66.0,14,laki-laki,Menikah,37
694,panggilan,43,102000000,393500000,1150382,26.0,11,perempuan,Cerai mati,46
695,panggilan,34,141000000,259000000,1184672,54.0,14,perempuan,Cerai hidup,31
696,panggilan,49,145000000,862500000,1157946,17.0,13,perempuan,Cerai mati,43
697,panggilan,35,90000000,305500000,1415990,28.999999999999996,11,laki-laki,Cerai hidup,52
698,panggilan,40,206000000,345000000,1588525,60.0,11,laki-laki,Menikah,54
699,panggilan,49,372000000,950500000,1819495,39.0,14,perempuan,Belum menikah,53
700,panggilan,44,251000000,268000000,1374421,94.0,12,perempuan,Menikah,30
701,panggilan,32,40000000,59000000,800961,68.0,12,perempuan,Menikah,62
702,panggilan,36,416000000,646000000,1029415,64.0,11,perempuan,Menikah,23
703,panggilan,41,55000000,62500000,936120,88.0,12,laki-laki,Menikah,61
704,panggilan,32,174000000,359000000,1048463,48.0,11,perempuan,Belum menikah,28
705,panggilan,45,642000000,825500000,993569,78.0,12,laki-laki,Cerai hidup,39
706,panggilan,30,327000000,350000000,957920,93.0,14,perempuan,Cerai mati,55
707,panggilan,47,276000000,451500000,1498026,61.0,12,perempuan,Cerai hidup,30
708,panggilan,48,177000000,262000000,1214352,68.0,14,laki-laki,Menikah,61
709,panggilan,48,446000000,577000000,1948372,77.0,12,perempuan,Menikah,61
710,panggilan,47,463000000,760500000,1682460,61.0,13,perempuan,Cerai hidup,54
711,panggilan,39,39000000,152500000,1166855,26.0,13,laki-laki,Menikah,59
712,panggilan,40,386000000,550000000,1341506,70.0,14,laki-laki,Menikah,52
713,panggilan,34,74000000,221000000,825931,33.0,11,perempuan,Menikah,26
714,panggilan,35,40000000,61500000,1409100,65.0,12,perempuan,Menikah,62
715,panggilan,32,89000000,110000000,653702,81.0,11,laki-laki,Belum menikah,39
716,panggilan,31,39000000,151500000,946396,26.0,11,perempuan,Cerai hidup,30
717,panggilan,44,76000000,614000000,933521,12.0,13,perempuan,Menikah,33
718,panggilan,44,412000000,678000000,1567556,61.0,11,laki-laki,Cerai hidup,59
719,panggilan,32,119000000,120000000,659428,99.0,13,laki-laki,Cerai hidup,48
720,panggilan,47,429000000,880500000,1123170,49.0,11,laki-laki,Cerai mati,34
721,panggilan,34,226000000,624000000,702902,36.0,11,perempuan,Cerai hidup,51
722,panggilan,48,103000000,144000000,1940969,72.0,13,laki-laki,Cerai mati,34
723,panggilan,46,223000000,733000000,1734012,30.0,12,perempuan,Menikah,38
724,panggilan,34,285000000,494000000,1010351,57.99999999999999,14,perempuan,Cerai mati,42
725,panggilan,37,246000000,681500000,902204,36.0,14,perempuan,Cerai mati,27
726,panggilan,42,734000000,758000000,1509862,97.0,11,perempuan,Cerai hidup,32
727,panggilan,40,117000000,309000000,911984,38.0,14,laki-laki,Belum menikah,32
728,panggilan,48,91000000,182000000,1176464,50.0,11,laki-laki,Cerai mati,40
729,panggilan,45,250000000,826500000,1832011,30.0,14,perempuan,Menikah,30
730,panggilan,43,177000000,691500000,1245591,26.0,11,laki-laki,Cerai mati,47
731,panggilan,37,304000000,337500000,1248181,90.0,11,perempuan,Menikah,44
732,panggilan,36,70000000,184000000,1413687,38.0,14,perempuan,Cerai mati,59
733,panggilan,40,371000000,399000000,1047106,93.0,11,laki-laki,Cerai mati,34
734,panggilan,38,285000000,347000000,926045,82.0,11,laki-laki,Cerai hidup,58
735,panggilan,42,200000000,245000000,946905,82.0,11,perempuan,Cerai hidup,26
736,panggilan,36,273000000,390000000,1147275,70.0,12,perempuan,Cerai mati,59
737,panggilan,37,140000000,365500000,1272678,38.0,14,laki-laki,Menikah,47
738,panggilan,49,69000000,257500000,1375209,27.0,12,perempuan,Cerai hidup,26
739,panggilan,42,213000000,711000000,1494277,30.0,13,perempuan,Menikah,25
740,panggilan,40,316000000,447000000,1288889,71.0,11,perempuan,Cerai hidup,59
741,panggilan,39,328000000,329500000,1458718,100.0,12,perempuan,Cerai mati,40
742,panggilan,42,62000000,121000000,1481181,51.0,12,perempuan,Menikah,57
743,panggilan,30,233000000,252000000,1195364,92.0,11,laki-laki,Cerai mati,36
744,panggilan,33,420000000,614500000,971917,68.0,12,perempuan,Cerai mati,29
745,panggilan,46,81000000,149000000,1501789,54.0,11,perempuan,Menikah,43
746,panggilan,45,757000000,855500000,1505371,88.0,14,laki-laki,Belum menikah,42
747,panggilan,47,183000000,251500000,1201197,73.0,12,laki-laki,Belum menikah,53
748,panggilan,36,98000000,108000000,1374407,91.0,12,laki-laki,Cerai hidup,35
749,panggilan,48,245000000,499000000,1488191,49.0,11,perempuan,Menikah,58
750,panggilan,44,99000000,142000000,1757091,70.0,12,perempuan,Belum menikah,31
751,panggilan,33,118000000,174500000,870018,68.0,12,perempuan,Cerai hidup,32
752,panggilan,43,164000000,208500000,993638,79.0,12,perempuan,Cerai mati,41
753,panggilan,43,534000000,581500000,1566862,92.0,14,perempuan,Cerai mati,47
754,panggilan,30,115000000,552000000,1045480,21.0,12,perempuan,Cerai hidup,55
755,panggilan,37,84000000,229500000,1116997,37.0,11,laki-laki,Cerai mati,48
756,panggilan,43,168000000,550500000,1460944,31.0,14,perempuan,Cerai hidup,40
757,panggilan,34,238000000,365000000,1277211,65.0,13,laki-laki,Belum menikah,53
758,panggilan,42,101000000,145000000,1472608,70.0,14,laki-laki,Cerai mati,40
759,panggilan,45,468000000,687500000,1532371,68.0,11,laki-laki,Cerai hidup,63
760,panggilan,46,408000000,628000000,1551379,65.0,12,perempuan,Belum menikah,62
761,panggilan,40,234000000,719000000,1394392,33.0,13,perempuan,Menikah,60
762,panggilan,40,691000000,730000000,1033248,95.0,13,perempuan,Menikah,54
763,panggilan,46,50000000,102000000,1689240,49.0,13,laki-laki,Cerai hidup,44
764,panggilan,48,206000000,246000000,1023110,84.0,13,perempuan,Cerai hidup,37
765,panggilan,38,78000000,84000000,1321116,93.0,12,laki-laki,Menikah,51
766,panggilan,47,227000000,550500000,1019430,41.0,14,laki-laki,Menikah,57
767,panggilan,40,57000000,66000000,1504526,86.0,13,perempuan,Belum menikah,37
768,panggilan,33,147000000,536500000,966535,27.0,13,laki-laki,Belum menikah,43
769,panggilan,47,200000000,458500000,1871824,44.0,12,laki-laki,Cerai mati,24
770,panggilan,43,557000000,570500000,900485,98.0,11,perempuan,Belum menikah,45
771,panggilan,39,148000000,235500000,1180481,63.0,12,laki-laki,Menikah,52
772,panggilan,43,473000000,759500000,1045248,62.0,13,laki-laki,Cerai hidup,63
773,panggilan,43,647000000,859500000,1006555,75.0,13,perempuan,Belum menikah,47
774,panggilan,44,48000000,173000000,1317047,28.000000000000004,14,perempuan,Menikah,50
775,panggilan,45,82000000,896500000,1108140,9.0,13,perempuan,Menikah,36
776,panggilan,30,300000000,343000000,771323,87.0,13,perempuan,Cerai hidup,41
777,panggilan,32,70000000,172000000,805585,41.0,14,laki-laki,Cerai hidup,23
778,panggilan,36,128000000,314000000,1346400,41.0,14,laki-laki,Menikah,51
779,panggilan,36,57000000,323000000,887894,18.0,12,perempuan,Cerai hidup,36
780,panggilan,48,135000000,415000000,1558746,33.0,12,perempuan,Belum menikah,33
781,panggilan,49,354000000,740500000,1157727,48.0,13,perempuan,Belum menikah,51
782,panggilan,49,81000000,153500000,1031164,53.0,11,laki-laki,Cerai hidup,28
783,panggilan,44,203000000,474000000,1080503,43.0,13,laki-laki,Cerai hidup,44
784,panggilan,43,96000000,439500000,947571,22.0,14,laki-laki,Belum menikah,56
785,panggilan,36,102000000,487000000,898139,21.0,11,laki-laki,Belum menikah,42
786,panggilan,30,240000000,458000000,859103,52.0,13,laki-laki,Cerai mati,42
787,panggilan,38,209000000,248000000,1479449,84.0,13,laki-laki,Cerai hidup,31
788,panggilan,32,50000000,70000000,1035029,71.0,13,perempuan,Menikah,62
789,panggilan,32,37000000,506000000,1269394,7.000000000000001,13,perempuan,Cerai hidup,61
790,panggilan,40,167000000,277000000,1572376,60.0,13,laki-laki,Cerai hidup,39
791,panggilan,39,640000000,749500000,1460673,85.0,11,laki-laki,Menikah,34
792,panggilan,45,134000000,661500000,1745609,20.0,13,laki-laki,Cerai mati,46
793,panggilan,34,206000000,556000000,931658,37.0,13,laki-laki,Cerai hidup,34
794,panggilan,37,243000000,379500000,770454,64.0,14,laki-laki,Belum menikah,62
795,panggilan,45,54000000,379500000,1246278,14.000000000000002,13,laki-laki,Cerai hidup,44
796,panggilan,34,236000000,240000000,938886,98.0,12,perempuan,Cerai hidup,63
797,panggilan,38,217000000,450000000,1277841,48.0,11,laki-laki,Cerai mati,36
798,panggilan,39,135000000,482500000,1506535,28.000000000000004,11,laki-laki,Menikah,50
799,panggilan,48,86000000,565000000,1202555,15.0,14,laki-laki,Cerai mati,27
800,datang ke tempat,50,518000000,893500000,3040477,57.99999999999999,23,perempuan,Cerai hidup,60
801,datang ke tempat,50,158000000,1136500000,2495804,14.000000000000002,28,perempuan,Cerai hidup,30
802,datang ke tempat,57,266000000,564000000,3177240,47.0,20,perempuan,Belum menikah,43
803,datang ke tempat,40,134000000,191000000,1926995,70.0,20,laki-laki,Cerai mati,39
804,datang ke tempat,52,556000000,1082000000,3119238,51.0,18,laki-laki,Belum menikah,23
805,datang ke tempat,43,464000000,495500000,2264030,94.0,27,laki-laki,Belum menikah,51
806,datang ke tempat,56,692000000,1205500000,2445634,56.99999999999999,22,perempuan,Belum menikah,35
807,datang ke tempat,52,708000000,1151000000,2498246,62.0,18,perempuan,Belum menikah,29
808,datang ke tempat,44,182000000,557500000,1902552,33.0,30,laki-laki,Menikah,62
809,datang ke tempat,46,524000000,1034000000,1978990,51.0,30,perempuan,Menikah,40
810,datang ke tempat,55,730000000,864500000,2957591,84.0,29,laki-laki,Menikah,43
811,datang ke tempat,54,332000000,1567500000,2250702,21.0,26,laki-laki,Menikah,54
812,datang ke tempat,53,126000000,146500000,2143346,86.0,18,laki-laki,Cerai mati,34
813,datang ke tempat,42,526000000,580500000,2260665,91.0,23,laki-laki,Menikah,52
814,datang ke tempat,40,110000000,147500000,2106439,75.0,30,laki-laki,Menikah,29
815,datang ke tempat,47,576000000,1124500000,2511405,51.0,16,perempuan,Menikah,25
816,datang ke tempat,44,128000000,374500000,2149012,34.0,16,perempuan,Cerai mati,53
817,datang ke tempat,40,94000000,135500000,2456428,69.0,17,laki-laki,Cerai mati,41
818,datang ke tempat,54,816000000,930000000,2512880,88.0,17,laki-laki,Cerai hidup,60
819,datang ke tempat,51,238000000,598500000,2560374,40.0,22,laki-laki,Cerai hidup,55
820,datang ke tempat,57,1712000000,1956000000,2920155,88.0,17,laki-laki,Cerai mati,39
821,datang ke tempat,46,824000000,960500000,2815924,86.0,30,laki-laki,Cerai hidup,25
822,datang ke tempat,45,1526000000,1567500000,2391925,97.0,25,laki-laki,Cerai hidup,49
823,datang ke tempat,41,398000000,976000000,2145838,41.0,26,laki-laki,Cerai hidup,34
824,datang ke tempat,43,540000000,573500000,2529286,94.0,23,perempuan,Menikah,60
825,datang ke tempat,43,532000000,542000000,2084648,98.0,26,laki-laki,Cerai hidup,40
826,datang ke tempat,41,596000000,910000000,2288236,65.0,22,perempuan,Cerai mati,34
827,datang ke tempat,41,266000000,623500000,2408432,43.0,29,laki-laki,Cerai hidup,55
828,datang ke tempat,56,322000000,338500000,2462834,95.0,29,perempuan,Belum menikah,44
829,datang ke tempat,41,424000000,1280500000,2354630,33.0,24,laki-laki,Cerai mati,62
830,datang ke tempat,44,262000000,286000000,1891161,92.0,23,perempuan,Cerai mati,49
831,datang ke tempat,54,1324000000,1767000000,2403792,75.0,27,laki-laki,Belum menikah,30
832,datang ke tempat,57,1538000000,1644000000,2489441,94.0,26,perempuan,Cerai hidup,56
833,datang ke tempat,55,344000000,912500000,2428688,38.0,22,perempuan,Belum menikah,41
834,datang ke tempat,52,456000000,747500000,2658149,61.0,30,perempuan,Cerai mati,48
835,datang ke tempat,44,106000000,256000000,2076322,41.0,16,laki-laki,Cerai mati,62
836,datang ke tempat,57,1196000000,1200000000,2637901,100.0,26,laki-laki,Menikah,50
837,datang ke tempat,56,462000000,1658500000,2939479,28.000000000000004,22,laki-laki,Menikah,32
838,datang ke tempat,47,202000000,1223500000,2316616,17.0,16,laki-laki,Belum menikah,49
839,datang ke tempat,43,814000000,990500000,1857566,82.0,28,perempuan,Cerai hidup,48
840,datang ke tempat,50,112000000,238000000,2427903,47.0,25,perempuan,Cerai mati,55
841,datang ke tempat,42,140000000,447000000,1869610,31.0,19,perempuan,Cerai mati,54
842,datang ke tempat,42,218000000,585000000,2383306,37.0,21,laki-laki,Cerai mati,59
843,datang ke tempat,59,708000000,1778500000,2737615,40.0,28,perempuan,Menikah,47
844,datang ke tempat,41,430000000,1102000000,2022716,39.0,29,laki-laki,Menikah,55
845,datang ke tempat,50,444000000,470500000,2446344,94.0,29,laki-laki,Menikah,62
846,datang ke tempat,51,202000000,1083000000,2823140,19.0,26,perempuan,Belum menikah,56
847,datang ke tempat,52,1778000000,1802000000,2446168,99.0,19,laki-laki,Cerai hidup,43
848,datang ke tempat,52,768000000,831500000,3169776,92.0,21,laki-laki,Menikah,48
849,datang ke tempat,46,772000000,1037000000,2769236,74.0,26,perempuan,Belum menikah,38
850,datang ke tempat,54,540000000,1261500000,2218397,43.0,23,perempuan,Cerai mati,39
851,datang ke tempat,55,496000000,563000000,3003820,88.0,18,perempuan,Cerai hidup,54
852,datang ke tempat,40,716000000,977000000,2275400,73.0,20,perempuan,Belum menikah,49
853,datang ke tempat,48,144000000,279000000,2349893,52.0,28,perempuan,Cerai hidup,56
854,datang ke tempat,57,912000000,1252500000,3142329,73.0,27,perempuan,Menikah,31
855,datang ke tempat,59,128000000,221500000,3326603,57.99999999999999,19,perempuan,Cerai mati,37
856,datang ke tempat,42,806000000,882000000,2137572,91.0,28,perempuan,Belum menikah,54
857,datang ke tempat,43,116000000,116000000,2392017,100.0,19,perempuan,Cerai mati,62
858,datang ke tempat,51,420000000,1429500000,2854112,28.999999999999996,28,laki-laki,Belum menikah,60
859,datang ke tempat,40,208000000,1034000000,1654938,20.0,28,perempuan,Cerai mati,56
860,datang ke tempat,41,424000000,928000000,1731146,46.0,17,laki-laki,Cerai hidup,30
861,datang ke tempat,41,276000000,400000000,2268138,69.0,21,laki-laki,Cerai mati,55
862,datang ke tempat,45,108000000,199500000,2211383,54.0,16,laki-laki,Cerai mati,43
863,datang ke tempat,48,562000000,637500000,1932231,88.0,17,laki-laki,Belum menikah,55
864,datang ke tempat,58,828000000,1613000000,2745395,51.0,22,laki-laki,Belum menikah,62
865,datang ke tempat,56,1236000000,1600000000,2625752,77.0,16,perempuan,Belum menikah,43
866,datang ke tempat,46,768000000,1076000000,2033967,71.0,28,perempuan,Cerai hidup,39
867,datang ke tempat,54,1386000000,1707000000,3175863,81.0,22,laki-laki,Belum menikah,52
868,datang ke tempat,57,312000000,556500000,3024508,56.00000000000001,23,perempuan,Menikah,40
869,datang ke tempat,56,138000000,181000000,2899928,76.0,24,laki-laki,Cerai mati,48
870,datang ke tempat,51,1446000000,1581000000,3036228,91.0,27,laki-laki,Menikah,36
871,datang ke tempat,51,232000000,1428000000,2709543,16.0,27,laki-laki,Cerai hidup,44
872,datang ke tempat,45,90000000,108000000,2608572,83.0,24,perempuan,Menikah,39
873,datang ke tempat,45,610000000,702000000,2339521,87.0,29,laki-laki,Cerai mati,44
874,datang ke tempat,40,830000000,840500000,2094916,99.0,23,laki-laki,Belum menikah,39
875,datang ke tempat,43,1064000000,1101500000,2545504,97.0,16,laki-laki,Cerai mati,52
876,datang ke tempat,52,1090000000,1143500000,2264850,95.0,18,perempuan,Cerai mati,49
877,datang ke tempat,54,688000000,838500000,2667923,82.0,16,laki-laki,Menikah,59
878,datang ke tempat,59,440000000,467500000,2925541,94.0,23,perempuan,Menikah,32
879,datang ke tempat,58,162000000,642500000,3480533,25.0,20,laki-laki,Menikah,61
880,datang ke tempat,59,658000000,986500000,2936389,67.0,30,laki-laki,Menikah,30
881,datang ke tempat,47,184000000,485500000,2802913,38.0,17,laki-laki,Belum menikah,28
882,datang ke tempat,45,232000000,574500000,2696113,40.0,19,perempuan,Cerai mati,54
883,datang ke tempat,45,736000000,1566000000,2012861,47.0,28,laki-laki,Cerai mati,62
884,datang ke tempat,45,96000000,105000000,2265468,91.0,20,perempuan,Cerai mati,36
885,datang ke tempat,59,1164000000,1241500000,2476587,94.0,19,laki-laki,Menikah,24
886,datang ke tempat,40,326000000,1077500000,1750237,30.0,19,laki-laki,Cerai hidup,23
887,datang ke tempat,41,496000000,620500000,2107816,80.0,29,laki-laki,Cerai mati,55
888,datang ke tempat,47,124000000,1457500000,2043017,9.0,25,laki-laki,Cerai mati,42
889,datang ke tempat,51,834000000,1164000000,2672594,72.0,18,perempuan,Cerai mati,51
890,datang ke tempat,57,1312000000,1971000000,2797100,67.0,28,perempuan,Belum menikah,53
891,datang ke tempat,51,524000000,1282500000,2428039,41.0,24,perempuan,Cerai hidup,63
892,datang ke tempat,47,994000000,1622500000,1943895,61.0,16,laki-laki,Cerai mati,59
893,datang ke tempat,55,602000000,1734500000,3095943,35.0,22,perempuan,Cerai mati,42
894,datang ke tempat,56,190000000,349000000,3093896,54.0,28,perempuan,Belum menikah,62
895,datang ke tempat,49,512000000,510500000,2299016,100.0,20,laki-laki,Cerai mati,53
896,datang ke tempat,46,472000000,807500000,2090774,57.99999999999999,20,perempuan,Belum menikah,30
897,datang ke tempat,48,806000000,1252500000,2821935,64.0,20,perempuan,Belum menikah,61
898,datang ke tempat,51,938000000,1411500000,2569113,66.0,18,perempuan,Cerai hidup,50
899,datang ke tempat,51,282000000,517500000,2858289,54.0,27,perempuan,Cerai mati,51
900,datang ke tempat,56,208000000,1889500000,2392534,11.0,17,laki-laki,Belum menikah,24
901,datang ke tempat,57,1428000000,1600500000,3170994,89.0,27,laki-laki,Menikah,27
902,datang ke tempat,45,488000000,517500000,1899361,94.0,19,laki-laki,Belum menikah,35
903,datang ke tempat,56,1568000000,1916500000,2827117,82.0,21,perempuan,Cerai hidup,59
904,datang ke tempat,45,1242000000,1453500000,2057659,85.0,22,perempuan,Cerai hidup,39
905,datang ke tempat,44,662000000,784000000,2686613,84.0,17,perempuan,Cerai mati,45
906,datang ke tempat,40,336000000,795500000,2119590,42.0,25,laki-laki,Cerai hidup,38
907,datang ke tempat,45,366000000,607500000,1866326,60.0,25,perempuan,Belum menikah,59
908,datang ke tempat,43,340000000,539000000,2109070,63.0,20,laki-laki,Cerai mati,30
909,datang ke tempat,47,204000000,1145500000,2152172,18.0,22,laki-laki,Cerai hidup,60
910,datang ke tempat,54,460000000,1416000000,3042999,32.0,30,laki-laki,Cerai mati,48
911,datang ke tempat,58,634000000,1767500000,3231292,36.0,25,perempuan,Cerai hidup,31
912,datang ke tempat,46,232000000,789500000,2399267,28.999999999999996,27,laki-laki,Belum menikah,36
913,datang ke tempat,43,168000000,236000000,2406574,71.0,23,laki-laki,Cerai hidup,59
914,datang ke tempat,42,382000000,1359000000,1727002,28.000000000000004,20,perempuan,Menikah,50
915,datang ke tempat,43,780000000,980000000,1845045,80.0,19,perempuan,Cerai hidup,46
916,datang ke tempat,43,228000000,498500000,2110660,46.0,23,laki-laki,Menikah,55
917,datang ke tempat,55,998000000,1899500000,2806134,53.0,21,laki-laki,Cerai mati,61
918,datang ke tempat,58,330000000,369500000,3252224,89.0,19,laki-laki,Cerai mati,36
919,datang ke tempat,57,1170000000,1914000000,3145242,61.0,18,perempuan,Belum menikah,56
920,datang ke tempat,40,860000000,1238000000,1724596,69.0,28,laki-laki,Belum menikah,47
921,datang ke tempat,58,440000000,590000000,2851233,75.0,25,laki-laki,Cerai mati,57
922,datang ke tempat,51,154000000,511500000,2450269,30.0,18,laki-laki,Belum menikah,45
923,datang ke tempat,56,134000000,1592500000,2569921,8.0,22,laki-laki,Menikah,50
924,datang ke tempat,41,96000000,113500000,2054312,85.0,21,laki-laki,Menikah,60
925,datang ke tempat,41,350000000,874000000,2101276,40.0,16,perempuan,Cerai mati,57
926,datang ke tempat,55,536000000,1013000000,3011095,53.0,23,laki-laki,Cerai mati,45
927,datang ke tempat,52,906000000,1284500000,2684539,71.0,21,perempuan,Belum menikah,56
928,datang ke tempat,44,554000000,559000000,2419013,99.0,23,perempuan,Menikah,49
929,datang ke tempat,55,326000000,1190000000,2266741,27.0,18,perempuan,Belum menikah,29
930,datang ke tempat,41,86000000,119500000,2374249,72.0,18,perempuan,Cerai mati,44
931,datang ke tempat,48,972000000,1084500000,2177591,90.0,27,laki-laki,Menikah,48
932,datang ke tempat,55,224000000,729500000,3098397,31.0,17,perempuan,Belum menikah,46
933,datang ke tempat,48,292000000,936000000,2056320,31.0,23,laki-laki,Belum menikah,48
934,datang ke tempat,45,1092000000,1186500000,2682036,92.0,29,laki-laki,Cerai hidup,54
935,datang ke tempat,51,560000000,655500000,2600630,85.0,21,laki-laki,Cerai mati,53
936,datang ke tempat,55,636000000,1647500000,2391537,39.0,27,perempuan,Belum menikah,32
937,datang ke tempat,56,428000000,1442500000,2681115,30.0,16,perempuan,Belum menikah,51
938,datang ke tempat,52,740000000,750500000,2261762,99.0,29,laki-laki,Cerai hidup,27
939,datang ke tempat,43,106000000,1302500000,2231046,8.0,27,laki-laki,Belum menikah,38
940,datang ke tempat,55,794000000,801500000,2521632,99.0,28,perempuan,Cerai mati,31
941,datang ke tempat,44,94000000,125500000,2678482,75.0,28,laki-laki,Cerai hidup,28
942,datang ke tempat,42,1082000000,1164000000,2284024,93.0,20,perempuan,Belum menikah,29
943,datang ke tempat,50,192000000,1039000000,2170766,18.0,16,laki-laki,Cerai mati,53
944,datang ke tempat,40,554000000,947000000,2174211,59.0,16,perempuan,Menikah,54
945,datang ke tempat,49,190000000,725000000,2965898,26.0,29,perempuan,Cerai hidup,44
946,datang ke tempat,45,114000000,1018500000,2303713,11.0,20,perempuan,Cerai mati,60
947,datang ke tempat,55,1026000000,1847000000,2755512,56.00000000000001,22,laki-laki,Belum menikah,59
948,datang ke tempat,46,212000000,1350500000,2169925,16.0,17,perempuan,Menikah,36
949,datang ke tempat,50,156000000,164500000,2596322,95.0,18,laki-laki,Belum menikah,28
950,datang ke tempat,59,194000000,1576000000,2591111,12.0,19,perempuan,Menikah,52
951,datang ke tempat,50,252000000,1355500000,2980260,19.0,16,perempuan,Cerai mati,23
952,datang ke tempat,58,1002000000,1011500000,2574485,99.0,20,perempuan,Cerai hidup,28
953,datang ke tempat,53,920000000,1228000000,2892999,75.0,28,perempuan,Menikah,37
954,datang ke tempat,40,114000000,399500000,2104483,28.999999999999996,18,laki-laki,Cerai mati,62
955,datang ke tempat,40,118000000,119000000,1758571,99.0,20,perempuan,Cerai mati,46
956,datang ke tempat,54,112000000,513000000,2271813,22.0,29,laki-laki,Belum menikah,51
957,datang ke tempat,41,452000000,611500000,1820164,74.0,20,perempuan,Menikah,50
958,datang ke tempat,51,172000000,228000000,2217394,75.0,27,perempuan,Cerai hidup,39
959,datang ke tempat,46,484000000,861500000,1898846,56.00000000000001,28,laki-laki,Menikah,51
960,datang ke tempat,50,570000000,773500000,2020980,74.0,17,laki-laki,Menikah,49
961,datang ke tempat,52,238000000,243500000,2650360,98.0,21,perempuan,Menikah,52
962,datang ke tempat,49,128000000,497000000,2319542,26.0,20,laki-laki,Menikah,26
963,datang ke tempat,48,270000000,378000000,2504973,71.0,26,perempuan,Belum menikah,38
964,datang ke tempat,51,678000000,1147500000,2861793,59.0,29,perempuan,Belum menikah,57
965,datang ke tempat,50,396000000,763000000,2245831,52.0,25,laki-laki,Menikah,50
966,datang ke tempat,57,352000000,510000000,2765636,69.0,18,perempuan,Menikah,48
967,datang ke tempat,41,572000000,1021000000,2325561,56.00000000000001,26,laki-laki,Cerai hidup,43
968,datang ke tempat,57,584000000,1500000000,2566487,39.0,17,perempuan,Cerai hidup,40
969,datang ke tempat,47,380000000,571000000,2356798,67.0,28,laki-laki,Menikah,46
970,datang ke tempat,50,226000000,337000000,2425323,67.0,20,laki-laki,Cerai hidup,49
971,datang ke tempat,56,190000000,401500000,3344090,47.0,26,laki-laki,Cerai mati,53
972,datang ke tempat,42,168000000,219000000,2330098,77.0,23,perempuan,Belum menikah,23
973,datang ke tempat,45,226000000,796500000,2368034,28.000000000000004,21,perempuan,Belum menikah,60
974,datang ke tempat,41,328000000,346000000,2269628,95.0,24,perempuan,Menikah,62
975,datang ke tempat,56,304000000,899500000,2928435,34.0,28,perempuan,Menikah,36
976,datang ke tempat,47,128000000,157000000,2343851,82.0,19,laki-laki,Cerai hidup,49
977,datang ke tempat,50,922000000,977500000,2115962,94.0,22,perempuan,Menikah,46
978,datang ke tempat,46,176000000,236000000,2395047,75.0,27,perempuan,Cerai hidup,44
979,datang ke tempat,40,884000000,1374500000,2249303,64.0,29,perempuan,Belum menikah,40
980,datang ke tempat,59,722000000,775000000,3582769,93.0,27,perempuan,Cerai hidup,25
981,datang ke tempat,47,578000000,1106500000,1899169,52.0,18,laki-laki,Belum menikah,39
982,datang ke tempat,47,340000000,1556500000,2436269,22.0,19,perempuan,Cerai hidup,33
